password,strength
pgbz,0
ykkhn,0
jzcirn,0
jxhdq,0
h<x\.2(261OfY},2
hxlxm,0
kbQf+p8q=Z,2
uTJmtDin,1
/G~:$`3tqueqX$,2
JzZt0E0gX,1
PGuov5KJ5,1
p6s5s;EflQ{`O,2
Ve8AmfOyGD,1
Pn_rPi)TDl=ucZ,2
">/}""qbotT$:""@za",2
ldeozs,0
OreN_}WB^*P$Y5,2
YqsCYYWoD,1
O(!0L6|&)&,2
ezmlo,0
mHuXXro,1
c7yaNaWGf,1
qpfgnd,0
cosdc,0
"]qK/Q_)""WO{HR",2
86oZmvx1,1
og6MPk3L,1
~>%v|J6p:QU!h,2
akll,0
eabnxe,0
zxP4rjD7j,1
cbeFvla7`bAe,2
]=^ZG~Y(fRQ,2
ijtt,0
mlcz,0
bqrlbi,0
jnorvs,0
g6TG}xWg=PP%>A,2
"XQ*q""q,dOT8=,",2
_w>s6xarqz,2
levbsz,0
nf4kaD7FW6,1
fDCQRkx3g3,1
tpazgu,0
x7Ra68S,1
mqdu,0
bsfska,0
gUL8gwv8d,1
IIrOw9A,1
PncmeJBc,1
DeJ82TkJI,1
lA8jgzqRVT,1
Ivb)ER~x4Aj,2
lekkz,0
",^LZCY6p<C`rCB;",2
hrojll,0
wabjwc,0
")X##nKQ?au,z",2
QEgL44daG,1
jYZsSaqA,1
"*6""4hTqkg$>L=#",2
x4:v;BVyaP.t,2
4zgN9Bs,1
eqs4ii6C,1
5DO5$1a.2]*pSu,2
9Ydb2gnwi,1
vzqxi,0
9Vv8#;XAs0\H6:@,2
hdrvc,0
evfj,0
jyeed,0
fCwbOrmrT,1
5dOp61Ta76,1
I6}{rI'U`SCfN,2
U)H_L*^B1J60,2
9sYxIUedF9,1
nzVC6ez,1
6w!)4J^?X:+,2
idebnz,0
FD6<f/m$G~:qI,2
ygjj,0
zsKM_?TEp@Bc0,2
dwlrrj,0
"C^""ZUVJ8m>0XO::",2
fQG1MYIZEN,1
sQrmIVot5,1
en}>/Sy)tfKT@,2
ocjnp,0
"I}J""9]&O9?NY,xj",2
dkh7HR6r,1
"J?Z_,s_j@*88He8",2
n4ZFK68,1
emsi,0
KSWrXo9XM,1
zsixg,0
MV98une,1
DVdEzazD,1
wzqade,0
QNz3Qft,1
zHGpdIZLQ,1
urid,0
1Ye30uDD60,1
ey3Q/WuL#vAV\%B,2
WECiz89#!rY,2
7IZmfgTj,1
"sO[""X>LH!(i:W^#",2
NM1EWfrto,1
z]Q[}TzL[8^j!&A,2
hmamr,0
Q9QXSloQIi,1
KgPgVPW,1
V2WGfq2,1
O1Bs9M7kk,1
yDVSU0K,1
adupDNmkL,1
()adq-'$hz,2
THYCCVxBc,1
t2PaWm21Wb,1
m9pb5tR,1
uuytw,0
xtwff,0
fndihj,0
fyyy,0
}}xj=i3\4W9~,2
tezc,0
cxwv,0
avupnv,0
ojuk,0
xqhkdl,0
xhzJbk0g,1
iwads,0
1Sd;MjSztM,2
vfmc,0
;(f^^UWIy$K.:,2
[O\#$)D'5o*X~i=,2
d8nbdbdL,1
RhP{RNpFR!wZ,2
ofLgeNXr3w,1
lECkRQn,1
%jJ8fzGl96zg,2
m2mEeW7,1
vtrkda,0
SO--52wsh#8!o,2
LS2g10kv3Z,1
4Tf4vsh,1
GBlmFv2g,1
yTlod$_sB~R,2
+.-$i>Bgk*(~J,2
xffi,0
dMVyN57Te1,1
hhcn,0
Z63FummnA,1
9[`r69]61IEurI,2
pytsny,0
dbgb,0
ywvy,0
gnqaqh,0
fhjaiz,0
srurp,0
iU~xdT7Q+u,2
vflv,0
;thJESK[T[d,2
ifsl,0
LaDl1HE6,1
bpK~v~Xaile,2
azbhc,0
agyjh,0
FBL1SHh8QM,1
bambx,0
Oci2xTY,1
&c3=l%8!)28T$,2
zifu,0
JG7LhlC8,1
2(0taS4_^DC|I6U,2
d1UUBK71F,1
lzsC4EZPOx,1
"Cx<O&cA""p;JN",2
9+H*fZdBz7gd=i%,2
"[8bM""./f/'B",2
qSICEEc,1
"c2-Y>sc""@&""",2
lYBoQQZ,1
gfas,0
mgqaxb,0
lsko,0
"'gN9c-*6@,",2
"-P,r]~;35Ih,#",2
-zGloz[p[2/L<za,2
"""qE'{W8Cui#CquQ",2
cqcn,0
youm,0
rsgpu,0
wtro,0
yXTDODtv,1
"*u&.}e,cR=",2
lnbjr,0
qF4XhlB,1
z6e6L50U,1
Ng)i;R+aM--}vxg,2
"Cg]^YDVod""lrH",2
LCEFYh93q,1
UAWQ1UBCZe,1
twti,0
bznots,0
ccmzq,0
emxg,0
fvBYteIT5x,1
"eXMV*X_,bhs7Tn",2
U5vjBiBk,1
a6v8Md5ZyW,1
uJ9:w|{|*Y,2
"h?T#7""Cw980}",2
t$x@/^i*vknr8a,2
"*v:t,vW=.C",2
ymcxn,0
ahWDa3zM,1
"f,oa#%:a]F7k-<_",2
"R<s:g?,O)|",2
hAKvprVTL,1
RJsotjkwDM,1
iTQBkPFWEp,1
"X<h|)8SS,S12",2
XRLCeWo,1
wbQEGDL0dw,1
olnta,0
"Qd>,~vRw6S$+",2
DFKMYIh,1
"n2XrC.G3.G%j""[s",2
",P&gFkcjp:.h1G",2
fqqgz,0
hshj,0
hcKOrog9,1
7]g*I:;N=+,2
mBC~-eBoH7X^,2
5LEsK4YIHf,1
cvdo,0
tipQptRhqe,1
tmtx,0
DiPEBH_]%@},2
kjpn,0
2QqMEbTja,1
kpiyjg,0
X9CoyVNtf,1
#HS{lA4GC~[Y,2
vqtutx,0
qmQO14Ist,1
LJ9W0Vnie,1
(X2xe^tb?bb4#VU,2
iqgd,0
q/o)X10U'Bh0,2
"K""[O@@Q'`Qv>",2
h1vKaJojnf,1
pkzkf,0
"""W:qduvA}|[0""",2
Y5|Sq7d}YS5b,2
hnzvrp,0
Lcg9bwnoq6,1
uDM2JHsA,1
hmUSY7d[}IONQ,2
YmwxQhXh,1
StEo}GDM96`k,2
cmomak,0
uolie,0
J4Z6j7Sq,1
uoea,0
hvnyy,0
"0aOBZP,B=.{Xe2p",2
lejrsg,0
mbrmfs,0
defa,0
cufklx,0
cdvoh,0
=@tB6kV0p1,2
dV5MgYhXQs,1
Lv815fA,1
ka5Z6OHeoL,1
kjnVy5eNU,1
FONdz-:`$=ZZu,2
fxczzb,0
"~(""Bd+}xU:E",2
"ub/Pc00#O-""'@",2
S]2-MW!o[%(raD,2
o4BJgWUMb5,1
ucnf,0
inbvud,0
WgCAgqWyZ7,1
Hl4X2OE,1
:a[p-&A+?Rw*L%A,2
uufktl,0
"cwD~,`zpUfHo6=",2
xyik,0
1xB3HsV,1
S@O)0ajP?O1tx,2
mbiwq,0
"%L(hYNC""xB85ir-",2
W46McX2p-Ve]Pf,2
cjyzy,0
'Ek!h_?F.2,2
lvhrkw,0
Mz5cWHPQA,1
W31qbklzEQ,1
EoFxsbtl;EOvq0R,2
KhUMoA1k,1
E9@lw=cl-p*,2
"Pd|'K~OH2,",2
xu(P?zexkV9,2
?D*x)RJ6Vc8,2
H)Nv-bS{m:j?~L\,2
bW9wVPN,1
szhx,0
(.cFY*kW5r{,2
tL1Ro63,1
+:pZJh$%`zn,2
kgfaxv,0
xXgXgLQXX,1
tfhqz,0
XdxMeqT,1
k5OSTUU10l,1
/1x`nr9=}{,2
PY96@I'6cn-!,2
EvQsWIE,1
"R4U""w0gqpa9",2
tocr,0
kvft,0
hdukqs,0
NA6&!=E-rJ<jA,2
fJipodi,1
cOnbc26lT,1
hokl,0
""".781~Q`6)",2
vem85Y4Yi4,1
sgnt,0
"ME]u?>&B,;Zk",2
0tNzp0wR,1
rgwkx,0
CngNBO4yo,1
YE74dNl,1
lkmz,0
7KASQfL,1
atoy,0
ehncvk,0
zLhSOysRe,1
ewnnz,0
xowxg,0
.b;]BqNZy3,2
M0UMMvnK,1
6qK0Atj,1
"k8,[BLJKrJ/5",2
eacnjq,0
jcvdo,0
uofm,0
5F3y4VB,1
ynefow,0
xgzhml,0
xpkgzb,0
tncyo,0
Do6BqBRlU,1
lDvpKb8jGr,1
gogmay,0
wzj9RS84,1
W]8?/3s__D,2
t8VCu+o&;W,2
tmZdlNylu,1
epwjy,0
GZyiHE)d3$[I^,2
Oi1w1hB7,1
f%B)Bw$Gz\,2
8;`u|)H/#0,2
dyTWHRB3,1
tqvfeGFrqn,1
hB%0A.*;1gNV,2
2MaDJn0Pv,1
"i%fLc-D*Z"",3",2
1TIhDqX9,1
"7'.)?%a6r""6zN",2
xmm8usilNE,1
dtYb%=2M1QihTh},2
ambb,0
"G_@=%ISw""/",2
5kh5:T^N9o,2
;R95X97s9vZ?,2
xjquRy]LB8,2
marhvyy,1
DzgXxY1zeJ,1
xetmme,0
LoJ[z8-6isC7Q@a,2
T-vi0vdmNN.u),2
0ZTEl9DiT,1
hzgqmb,0
5STLyTXt6W,1
`ZExTKup$S,2
kVF6l%`l:<N'_,2
riwwyv,0
4mOFfrlr,1
wWdw6prO,1
TU9vdpBiTP,1
bvjfce,0
12|8w+)%<+:,2
.4Ef:(Tq;8SiKQV,2
oiKh4m1lSL,1
ypco,0
kzrbs,0
tAJt]sae$@X9+k7,2
c3pT}F4y$^l!;,2
\9ScHA\w$!x,2
"qU!*zI9,i]qu%%",2
0Qc2JXE57,1
irodhk,0
mGnCa\|y+;A,2
:C#ellKPsYqlF,2
fwdbr,0
Oz9iUMG,1
dxdyq,0
dhwlk,0
Es5sNOS,1
3v\Zigx)6V4{L]N,2
Z(-#x_^x+!z8T#i,2
fgHHaHmxi,1
!h/0rR)S#&lR,2
J|}>%?g;&w`,2
xestb,0
p9KvF5J2,1
Acvoy0oE,1
advfs,0
xfbz,0
f4aj2wh9Wq,1
epsi,0
lcsp,0
PVZFZWiv,1
ghlem,0
kH`y4Bx][X,2
NOVsKCn,1
edzx,0
ihflb,0
"&p,%*rp\)nz+o",2
kmvbcs,0
ff*kWaHv.M|~c,2
8Tf.%/ZKIZ85anF,2
H7PazBChx|e,2
ptyfxq,0
gWB09xH,1
uxaks,0
/G{+O[A8(q-],2
3QgcoLWo,1
a8yxQ2pbUz,1
nzis,0
qXohmyR,1
"H2N*nP(T;""&gE",2
mvlBpXoqgH,1
MmIfvfj,1
vceC5zW,1
AW1j3RU,1
9v64RyOF,1
o4>maAII:e-$~6{,2
c6xvv0g,1
zXd%p4f%}r,2
panxmm,0
pacnt,0
vtosy,0
heyaq,0
+6kK3&p3`K'(%_{,2
ayhvvh,0
`Zx_X)pf;trkQ<),2
w&3MOZGSP?+&,2
nrchuj,0
nuzxf,0
klaupt,0
UIfHjsgFA2,1
ad0U8Xi,1
"1h+W}JL*^UCRHO""",2
kumr,0
4m1-FTqX[Gtwif?,2
k&)E!>;6m>-,2
hPPzxPQC,1
z4gOiWM1QJ,1
"$f""x-C><c:>5#E",2
KUvqzcam,1
Q1V~aUorL?er,2
qdadyp,0
vUQb1bLf,1
apleN80DRj,1
secd,0
ZS0v1PvUa3,1
zjrqfi,0
TI08rxK4w,1
NU0QCme0,1
afckqx,0
!|~z=:Y+[*,2
ldhob,0
xQQyGmNHr,1
efynh,0
thjvwb,0
MOMOBPBntFM,2
A9}<&12zW\3m,2
"oAWM6K""A,hi=;",2
znnpl,0
ECy8xhR1,1
xv5VB25z1p,1
qntikz,0
vjinrz,0
&acS'!sFpIQfIj,2
AVkr2wrZo,1
\N|_JKa9&_a%]Y1,2
cogtwh,0
yfwr,0
eewq,0
kxftWEhol,1
wlknw,0
hHi;oLRPNB:,2
t)-V0zFU.8,2
ll:IdkrbTv'I,2
ZOth848,1
G3qonbQU4u,1
Feqwjp5wIC,1
iporei,0
tIknRxrlL,1
5SbW36pg,1
mBOYMk0,1
hhh0YBN:w8,2
"v~PSb""C?TE",2
yzfcfc,0
G/#V;L%7o>h,2
U:QRajmY{'l`lM,2
"0|sg>p""ClgFU",2
vfdrw,0
/u;ET_0$7A',2
"R+DxXv)d[,5v(",2
od;.tyZiqdtwHY.,2
dHaUMBP1pF,1
o/1_YCrbEQ1UuMG,2
2:Su}LK6zW,2
VsIrdw2,1
Q=Jxa'!<b>fyvSj,2
5g:T/qGUSh5D^,2
b9Qu8kyP,1
"""g+`QW(xIA)m!",2
RIv1LsbS,1
nlthox,0
2BfaHQrTki,1
luelqr,0
Ml4wg7vu,1
vxot,0
"X""If.U'xGa9",2
RA_q_K^/yMd,2
qhjjgw,0
CvSf4mvR,1
RiSRGdtSmN,1
iltc,0
mKDLIpO,1
edZsylC,1
IbdBH9s,1
}Fs&?aTvni*?{s,2
x$T/A{6c@Y_2EW,2
vblzq,0
xxjv,0
gvwau,0
ysgq,0
W\X:<nl:{G-d5{M,2
obfepc,0
h[s|UadFd_IT8g`,2
ZgC15oeR,1
udboom,0
9SC4WFyo,1
8=;U5RN&f|g,2
m|+8AX)DtjaXy,2
l)bhLf[j;l:Uv0,2
Dux6FBqCm,1
ytmlkd,0
ndrqyTCHD,1
lazasq,0
ZtcS7cYKaZ,1
'U6.)CxQNDh_F,2
yI^#MXp0pH,2
uvydtd,0
BVG)<z_.l;bW#v},2
tY##@&SZb3s,2
L6g7Ntg,1
6|kJsZuo3]R<Iv,2
"h&""&Bz^il5aYJ",2
ttugl,0
?cF=^+I4~w,2
tVpCSSOAAo,1
jiuji,0
qatj,0
pefr,0
wX6CIhfg,1
xasfsy,0
eiqsvh,0
kRT7Ire,1
8LYvQbRJ,1
rwnC1Wd'E>t3Tt,2
cybu,0
"W{_Bg,IZf!",2
nmhp,0
>V;Lc%c>eQGn?.,2
kluhd,0
RSu3thVI,1
iektbh,0
0J)?Io1Yd;1*.QM,2
8IGc6Cv,1
tQ5hG>^SDwi~,2
lDcRvfA1rG,1
kW9PIePT,1
eFux1XJeyL,1
Z`]$OJ3_?P{t}U,2
cqNUaqm,1
AWFMMoTP,1
k72%B*2'j#,2
w4nIV&]5ya%j{]7,2
oxsgj,0
dhcyr,0
Fk0fMSDA,1
ktiica,0
8fbmY2TIor,1
T8YUfO26lU,1
"J1iD|s1&0y""~0C",2
x{IjU4-Xk*\,2
cxkxwg,0
nhlzo,0
NCcKCfg1,1
gmzq,0
:o'w`&yr-T,2
qSiOKIxX4J,1
9Qdt71Ilj,1
artzQOXL8,1
ssunu,0
bwft,0
S>>&GN[D!JG<,2
ajib,0
2C0E4LFuq,1
8qq4PsPzh,1
5UpaIAc,1
vqsh,0
RYp*D14+B>g,2
Sj8oRxaW,1
YJ]]6%qv5xr,2
"Z3,l}D%OR=a8#$8",2
oBywvpaIh,1
GC9!JKIvisZ,2
cfldhr,0
hlphlx,0
fner,0
D1ijLr9,1
ibkbf,0
zvtern,0
"S""KzS-af%]""]P",2
pKXAIkcI,1
vapst,0
trlrtd,0
uwub,0
VAH)|1.$_;^,2
5Vaa6lv6,1
xqct,0
gfZSAYa59,1
IRYvb73,1
hvij,0
lgzlh,0
cqLSggyXlv,1
v8i't1dWZQnd*U*,2
3f=<5n]YnoSV*t#,2
famkn,0
ppxxd,0
2FbiMoaO,1
jkine,0
xdmd,0
.!-hN`3P>AV[V,2
gmirxq,0
uqpark,0
3Kn}beqCjLga,2
nvlbzx,0
PbWayj[jLPn,2
nolpwm,0
%RdTzP9>$-?dP,2
rvuv,0
dhezf,0
zhtzpf,0
wydm,0
"UTd@""+Zg#3",2
E!>.4f}vo\`,2
qqzzau,0
~ecxaWvM?cI?qh,2
s1IWC|*XT&CVMz.,2
bvjv,0
l8H8kSEUX9,1
`CjcJfnXX+SST,2
b_qb{p5Vq5c,2
zwcke,0
btxl,0
"|2uH;',|qR+.",2
"z5*m7Fta&f""xd",2
sl5Jk0Lr,1
:|wDNKBqK*O@T,2
QlMI2dIojW,1
K5zpT8n,1
0dh8roN,1
nVqMb11T8k,1
HSJNpzF,1
2UakCfMq0,1
5pLM1ubWiw,1
7LKtSCq,1
xcczsy,0
&q(I3%#vec2P(MW,2
LUPxtfaV,1
8|82HA}L&+$F$:,2
"K8ugm\f!(,Q1",2
"VwF*9h,N@s",2
91d+SF;$Utf,2
qupbal,0
yzjcey,0
rfbrky,0
6hFNSaAC1,1
irwfzz,0
U8IQiVUF,1
UYSqSeN6XY,1
spqevz,0
ZHyY0zmb,1
GLCktSJ,1
!'Cq(o_%dM^W,2
QXUW%rtz/5E>,2
8wSVmrx5,1
Va^T]g4bOr,2
pxln,0
pxvdsa,0
wdv{YeK)vex>s;t,2
wk1PJsS6T,1
nwqaip,0
+|6g&uN~?)\#I,2
{9KEh!*)4=Z`b,2
"H4[8O-_`_""jf9[",2
oyEnkCL,1
1Wxc7uf5Wo}+FC,2
"2H""JI~e-5*",2
pvgz,0
cw9ZLa&/Z`]$T,2
Z@)qq@:g<h,2
"8""LCN6pf{kQY`L$",2
kemd,0
bnoxyh,0
jcnyzk,0
"}N4pBa,O""Y'un~G",2
WAboUbj,1
"C?(R=bzyv|#e,$",2
#;&e{5Gj0TO8At,2
GTzunI4oyg,1
+*;jIRJ@%(,2
6zNZ074Ik,1
crfm,0
I0ilghI2Cj,1
gambpf32N,1
A;@`baAfE)Jf3,2
feyyi,0
qgzm,0
"*""XQ.CFLlBXM5ZW",2
yqtogx,0
vbbs,0
KIz070jF,1
niktgp,0
ggaazv,0
Ti2YBmmkg,1
oadssh,0
pfyxw,0
&Z5AOd1#0BZ,2
jxchb,0
uwbf,0
W&_\(p3PCYu,2
hBSh9Wh0,1
Q3gKeUV9e,1
"AXHN%Ma)t""%",2
ujgpb,0
"""$}k?I>J%chMG6g",2
H86li0rS8,1
|v1=lbMI{0,2
jXtcuWq,1
DNmvXUc,1
-u34Zi1cjfJIG-,2
bwsao,0
"SX1_t""zf.bF>p",2
Ph7+Ol/tujq,2
YasZAPcYHX,1
e9FTTcwgw,1
>O78%\m/Ee,2
LMaOeJf,1
txoa,0
cjnfr,0
Q5yoD84dc,1
2J*Bz^^S`<O+,2
llhpio,0
RGXL2W4dT%*=:5j,2
Dh9OE3Y,1
kQTt7bA,1
>TNvBZY^\hmFYF6,2
cyezhl,0
s49|~8x%nIKo{H\,2
lighr,0
$mx$=v/ZcM,2
44TAZmoaQs,1
"cp,fbS1K26y",2
lyxbap,0
Zw?4hy_1-YK|k,2
mzvolr,0
",)OxFk5ypw",2
hr$#jkGbjMPu,2
J2CkJByGfN,1
{O8LiIz~}Hl_K+,2
lfZ8yUeLnp,1
wshys,0
Blbi4UD6,1
fqFP[|m(wx,2
6e6iMoZC,1
"pbG1BB,tSFNmo7",2
yyoij,0
CGL3mgGHz,1
zpCvOut,1
kixv,0
aowlz,0
:P#%Mnk~|!Bt6c,2
OU|\{#/ro^s`-_3,2
(*f2ULvM!o,2
nzhvfa,0
MlFf8WlN,1
WEiB5OeU89,1
rniedd,0
YInxio6L8,1
/\i|*f}6Lvi,2
oshyqg,0
gm4HXs9489,1
dtat,0
vwvpjk,0
Wv4evuOja,1
ovziy,0
Kvv+z:[OcUBoBg,2
3L}<f&#_Z$a|,2
GZNhrdt35,1
21qM7EpNqm,1
m3L0NBZ,1
>z[f8%^hFn5[=&@,2
2l^b^b$&U^(?>,2
fzsb,0
C7r9sjoxO=+^|L,2
xwyzh,0
"""7%FDO870I",2
9APVvlZ8KU,1
#F|0:?{|cW@3,2
0UF9PkAsS,1
ubkfl,0
"Y~)oACE)F',1F",2
7M1Y*pf-fI;:/w,2
"F7Err8"")eI}",2
5C9wqsY'{^,2
jixphQS2,1
X:f^N8z@$t,2
LSFdJMjVG,1
9C:&-Gc%iV15,2
7UPrF2sL4I,1
uP1mgJoP,1
noqljz,0
m9B3BRhzRg,1
wsdd,0
"l,ER$M}r9`rD5+g",2
Vrlh8yY,1
5DQpHD8q,1
"K:x)j=(""TpK5f!4",2
K(4Q%i{Yu+08y>x,2
rULFR67bH,1
"}|->Oa6s8H}K""0",2
ihszi9a,1
"{n5],pC[aF",2
M60dRM15r,1
vucy,0
medidEa,1
"Wh?yhK2k'h,Ph0",2
P\d)qm/#~^A!0Pw,2
qkrqf,0
H?\]VSgidHY,2
yxnpc,0
wQazFTC,1
blvjuk,0
pRzcsvoMA8,1
anbtkx,0
qpdp,0
7cAC5suDu,1
YCuLyMzN22,1
c9z2gwkKu{;V,2
lzvfmu,0
hray,0
tybof,0
pvlYXs6,1
XTam4X81,1
cvgh,0
qA9QDEQ,1
otet,0
tkqkx,0
bbgfa,0
5wl29fJp,1
{t3'NJA^pQ9`H,2
Q4dkW=DUt',2
ylgh,0
qAEUgAeAZk,1
"]""ko!5EL}$",2
xkfid,0
BHUGYk71CJ,1
KKc03k7M,1
",|#&7]Q,/7yEK`?",2
"&""O=q&}Agp",2
ctzfWRhMi,1
kqsw,0
yVaxdCTS2,1
jwbh,0
q0oGsSA,1
WjivVabQwz,1
sM2E\E-Io'X,2
}gv0+y8q~sz+SV;,2
D!2B|_Xa$GX,2
mncq,0
9;dqah*I_'UV,2
yprf,0
CVCZm762,1
Vda6U8tpy,1
J@DM2*xR@GIYk20,2
unyvk,0
feww,0
lbtj,0
ejN0Ghs,1
SEYrGSp,1
nrrck,0
deZyycE0k,1
d7c-1FEfb#c,2
07$K3]lk*4,2
!''@Nk9^6i,2
lbern,0
qaXvf2QVeb,1
97r2ri7e,1
ih62lHEbv,1
zADyiPWsg,1
rjGP4JSQ,1
aqox,0
hjDkvs6b,1
lwuee,0
E2NT!5WW?tj^h,2
"yOFh'"":Loz",2
AgKWF1i*~{|,2
mdpux,0
lxxhz,0
7AXeCtV,1
Uj)/K-69IL,2
9oo7KB8,1
vppips,0
z&w*db(?w%t,2
lztt,0
ulerau,0
neio,0
2feNzB8d,1
'>19^s*S6]m,2
jyvjih,0
d;]5;?S7E~*3.,2
<K>6!uvfP':U,2
",B,ZsGOh?g",2
YJw9v4S,1
FWJCyd6eYa,1
Xia39Fs,1
b;y{m:l)>rBg,2
8MEX=nvdvJL[,2
nrvc,0
juahau,0
ogyqh,0
ahpk,0
qnjjl,0
H23WAU(WL}4t\>,2
u%<Cvr{/FzL,2
"@2@,l8|+;/",2
adwtp,0
z9J+>`eU>H,2
omwue,0
